1,"<strong>Care About Your Craft</strong><br />Why spend your life developing software unless you care about doing it well?"
2,"<strong>Provide Options, Don't Make Lame Excuses</strong><br />Instead of excuses, provide options. Don't say it can't be done; explain what can be done."
3,"<strong>Be a Catalyst for Change</strong><br />You can't force change on people. Instead, show them how the future might be and help them participate in creating it."
4,"<strong>Make Quality a Requirements Issue</strong><br />Involve your users in determining the project's real quality requirements."
5,"<strong>Critically Analyze What You Read and Hear</strong><br />Don't be swayed by vendors, media hype, or dogma. Analyze information in terms of you and your project."
6,"<strong>DRY - Don't Repeat Yourself</strong><br />Every piece of knowledge must have a single, unambiguous, authoritative representation within a system."
7,"<strong>Eliminate Effects Between Unrelated Things</strong><br />Design components that are self-contained, independent, and have a single, well-defined purpose."
8,"<strong>Use Tracer Bullets to Find the Target</strong><br />Tracer bullets let you home in on your target by trying things and seeing how close they land."
9,"<strong>Program Close to the Problem Domain</strong><br />Design and code in your user's language."
10,"<strong>Iterate the Schedule with the Code</strong><br />Use experience you gain as you implement to refine the project time scales."
11,"<strong>Use the Power of Command Shells</strong><br />Use the shell when graphical user interfaces don't cut it."
12,"<strong>Always Use Source Code Control</strong><br />Source code control is a time machine for your work-you can go back."
13,"<strong>Don't Panic When Debugging</strong><br />Take a deep breath and <strong>THINK!</strong> about what could be causing the bug."
14,"<strong>Don't Assume It-Prove It</strong><br />Prove your assumptions in the actual environment-with real data and boundary conditions."
15,"<strong>Write Code That Writes Code</strong><br />Code generators increase your productivity and help avoid duplication."
16,"<strong>Design with Contracts</strong><br />Use contracts to document and verify that code does no more and no less than it claims to do."
17,"<strong>Use Assertions to Prevent the Impossible</strong><br />Assertions validate your assumptions. Use them to protect your code from an uncertain world."
18,"<strong>Finish What You Start</strong><br />Where possible, the routine or object that allocates a resource should be responsible for deallocating it."
19,"<strong>Configure, Don't Integrate</strong><br />Implement technology choices for an application as configuration options, not through integration or engineering."
20,"<strong>Analyze Workflow to Improve Concurrency</strong><br />Exploit concurrency in your user's workflow."
21,"<strong>Always Design for Concurrency</strong><br />Allow for concurrency, and you'll design cleaner interfaces with fewer assumptions."
22,"<strong>Use Blackboards to Coordinate Workflow</strong><br />Use blackboards to coordinate disparate facts and agents, while maintaining independence and isolation among participants."
23,"<strong>Estimate the Order of Your Algorithms</strong><br />Get a feel for how long things are likely to take before you write code."
24,"<strong>Refactor Early, Refactor Often</strong><br />Just as you might weed and rearrange a garden, rewrite, rework, and re-architect code when it needs it. Fix the root of the problem."
25,"<strong>Test Your Software, or Your Users Will</strong><br />Test ruthlessly. Don't make your users find bugs for you."
26,"<strong>Don't Gather Requirements-Dig for Them</strong><br />Requirements rarely lie on the surface. They're buried deep beneath layers of assumptions, misconceptions, and politics."
27,"<strong>Abstractions Live Longer than Details</strong><br />Invest in the abstraction, not the implementation. Abstractions can survive the barrage of changes from different implementations and new technologies."
28,"<strong>Don't Think Outside the Box-Find the Box</strong><br />When faced with an impossible problem, identify the real constraints. Ask yourself: 'Does it have to be done this way? Does it have to be done at all?'"
29,"<strong>Some Things Are Better Done than Described</strong><br />Don't fall into the specification spiral-at some point you need to start coding."
30,"<strong>Costly Tools Don't Produce Better Designs</strong><br />Beware of vendor hype, industry dogma, and the aura of the price tag. Judge tools on their merits."
31,"<strong>Don't Use Manual Procedures</strong><br />A shell script or batch file will execute the same instructions, in the same order, time after time."
32,"<strong>Coding Ain't Done 'Til All the Tests Run</strong><br />'Nuff said."
33,"<strong>Test State Coverage, Not Code Coverage</strong><br />Identify and test significant program states. Just testing lines of code isn't enough."
34,"<strong>English is Just a Programming Language</strong><br />Write documents as you would write code: honor the <strong>DRY</strong> principle, use metadata, MVC, automatic generation, and so on."
